# Automatically generated from sites-database.csv. DO NOT EDIT.
site,shortname,campaign,lat,lon,temperature,10V,10H,19V,19H,37V,37H,89V,89H,10V_summer,10H_summer,19V_summer,19H_summer,37V_summer,37H_summer,89V_summer,89H_summer,skt,skt_summer
station_accumulation-eaiist,station_accumulation,eaiist,-80.57493000000001,121.63188999999998,-49.38,184.8992919921875,152.38372802734375,169.95660400390625,137.88656616210938,172.7653350830078,146.8052215576172,181.6036834716797,161.91839599609375,189.77420043945312,158.5145263671875,182.18386840820312,149.89840698242188,193.70806884765625,165.6919403076172,202.4967803955078,180.33871459960938,-46.57147827148435,-30.845434570312477
megaw-eaiist,megaw,eaiist,-80.57486999999999,121.73228999999999,-49.09,184.8992919921875,152.38372802734375,169.95660400390625,137.88656616210938,172.7653350830078,146.8052215576172,181.6036834716797,161.91839599609375,189.77420043945312,158.5145263671875,182.18386840820312,149.89840698242188,193.70806884765625,165.6919403076172,202.4967803955078,180.33871459960938,-46.57147827148435,-30.845434570312477
sortie-asuma,sortie,asuma,-69.2375247059016,134.348244614708,-41.14,227.33128356933594,204.87818908691406,226.83404541015625,204.3017578125,225.24765014648438,206.41775512695312,221.3435821533203,204.87351989746094,229.0128936767578,207.52259826660156,230.18710327148438,209.42581176757812,234.09356689453125,217.40000915527344,235.21934509277344,219.5677490234375,-37.87726440429685,-25.10472717285154
stop0-asuma,stop0,asuma,-69.6358238653523,135.281034115658,-41.14,227.7266845703125,205.25881958007812,227.83287048339844,205.60731506347656,225.12069702148438,207.142578125,219.4542694091797,203.4981689453125,229.17417907714844,207.0387420654297,230.5580596923828,209.47418212890625,233.27096557617188,216.6322784423828,233.37417602539062,216.99679565429688,-39.41892089843748,-25.834722900390602
stop1-asuma,stop1,asuma,-69.63475741696611,136.21016903339898,-40.92,227.1427764892578,202.75975036621094,226.60633850097656,202.05795288085938,223.60342407226562,203.76437377929688,218.27073669433594,201.1262969970703,228.4548797607422,204.6903533935547,229.44515991210938,206.4967803955078,232.30967712402344,214.5032501220703,232.47097778320312,216.64840698242188,-39.18779602050779,-25.797125244140602
stop2-asuma,stop2,asuma,-69.95332580237509,138.553388027918,-40.37,225.40467834472656,200.94264221191406,224.62637329101562,199.59336853027344,222.12191772460938,201.70814514160156,217.01412963867188,199.3397674560547,226.70001220703125,203.67742919921875,227.55160522460938,205.08065795898438,230.91934204101562,213.6774139404297,231.98387145996094,216.73228454589844,-39.441366577148415,-26.188726806640602
stop3-asuma,stop3,asuma,-70.05927365270121,141.196493743379,-38.92,222.5264434814453,197.7838897705078,222.201171875,197.13536071777344,219.9215087890625,199.55819702148438,215.13986206054688,197.92437744140625,224.0613250732422,201.46450805664062,226.0128936767578,204.6193389892578,230.57420349121094,214.83546447753906,232.82904052734375,218.3451690673828,-38.5157531738281,-24.951971435546852
stop4a-asuma,stop4a,asuma,-69.7865170610306,141.975058272235,-36.76,223.6261749267578,197.93467712402344,222.6768035888672,197.08876037597656,221.2349090576172,200.7470245361328,217.63697814941406,200.49948120117188,225.5128936767578,201.98709106445312,226.94517517089844,204.8935546875,231.53871154785156,215.22579956054688,233.5096893310547,218.73548889160156,-36.31896057128904,-23.159399414062477
stop4b-asuma,stop4b,asuma,-69.70532246562661,142.0733090307,-36.32,223.439453125,196.5777130126953,219.80662536621094,192.9417266845703,217.22360229492188,195.5311737060547,215.19154357910156,197.57861328125,225.59677124023438,200.82901000976562,224.77420043945312,201.5064697265625,228.05484008789062,210.8709716796875,231.56451416015625,216.5225830078125,-34.971640014648415,-22.057653808593727
charcot-asuma,charcot,asuma,-69.375,139.01694444444402,-37.92,228.7826690673828,203.81817626953125,227.94435119628906,202.1666259765625,226.2622528076172,205.04905700683594,221.83645629882812,203.79270935058594,229.93870544433594,206.3419189453125,230.90322875976562,207.64515686035156,234.74192810058594,216.7774200439453,235.18067932128906,219.43226623535156,-36.59897460937498,-24.209310913085915
stop5-asuma,stop5,asuma,-68.7496004975865,137.443296307921,-37.22,231.42625427246094,206.51837158203125,230.7025909423828,205.1280975341797,228.2637176513672,207.02003479003906,223.76861572265625,205.5144500732422,232.3580780029297,208.0258026123047,233.13548278808594,209.21292114257812,235.94837951660156,216.94517517089844,234.79356384277344,218.17417907714844,-35.985678100585915,-23.878210449218727
faus-asuma,faus,asuma,-69.26858320481149,136.000083727841,-39.61,229.45077514648438,205.07366943359375,229.39195251464844,205.0400390625,226.4077911376953,206.58087158203125,220.79275512695312,203.5738983154297,230.7645263671875,206.09678649902344,232.06129455566406,208.20323181152344,234.60003662109375,215.46131896972656,233.16770935058594,215.8193359375,-38.08136596679685,-25.03783264160154
d47-asuma,d47,asuma,-67.3863333333,138.7241666667,-25.86,239.1492156982422,209.1957244873047,238.1256561279297,207.69683837890625,237.62734985351562,213.2654266357422,234.67233276367188,215.0543212890625,240.14517211914062,212.60321044921875,240.90646362304688,214.26773071289062,244.65159606933594,223.47097778320312,243.03224182128906,224.85484313964844,-25.508932495117165,-16.161840820312477
